town_code,town,lat,long,district,district_lat,district_long,region,regional_city,region_lat,region_long,population_density,area,population,distance_town_district,drive_town_district,distance_town_region,drive_town_region
516643,Banská Štiavnica,48.44432915,18.92126973,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,213.18,"46,735,648",9963,0,0,48.7,42
516651,Banský Studenec,48.4472104,18.9709794,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,24.54,"19,195,693",471,6.9,12,46.7,44
516678,Beluj,48.351258,18.8935161,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,5.96,"22,813,890",136,17.2,21,63.6,58
516716,Dekýš,48.3945781,18.8147682,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,10.86,"17,820,005",194,15.7,19,59.4,55
516856,Ilija,48.4196363,18.9006218,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,33.23,"10,637,105",354,5.6,9,52,46
516953,Kozelník,48.51767295,18.99669777,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,17.97,"9,014,379",162,16.1,18,32.6,24
517071,Močiar,48.5412993,18.9460427,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,7.67,"20,918,920",161,15.9,22,53.4,51
517160,Počúvadlo,48.3661998,18.834955,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,6.13,"15,507,958",95,17.6,25,61.3,61
517143,Podhorie - Banská Štiavnica,48.4983571,18.9198372,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,15.04,"21,639,164",326,8.7,12,46.2,41
517178,Prenčov,48.3629383,18.9229468,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,26.61,"24,501,727",652,12.5,14,58.9,51
517283,Štiavnické Bane,48.43435485,18.84739019,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,80.28,"10,158,419",816,9.5,13,53.1,49
516597,Svätý Anton,48.40975575,18.95040459,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,53.56,"22,628,422",1212,7.8,10,54.1,48
517372,Vysoká - Banská Štiavnica,48.4122091,18.7906013,Banská Štiavnica,48.44432915,18.92126973,Banskobystrický kraj,Banská Bystrica,48.7384028,19.1573494,9.75,"14,558,379",142,14.8,19,58.5,55
519014,Abrahámovce - Bardejov,49.1616223,21.3426096,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,57.89,"5,899,305",342,23,27,26.6,31
519022,Andrejová,49.3327013,21.3324994,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,31.68,"11,662,554",370,8.6,14,49.2,57
519006,Bardejov,49.2926871,21.2756031,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,445.09,"72,335,652",32196,0,0,41.6,46
519049,Bartošovce,49.2027728,21.2741555,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,65.08,"11,231,942",731,13.6,20,30.8,35
519057,Becherov,49.4199204,21.3117602,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,15.03,"19,093,099",287,17,21,57.5,64
519065,Beloveža,49.2957839,21.3687757,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,76.44,"10,151,601",776,9.6,15,50.2,58
519073,Bogliarka,49.2800924,21.1485099,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,10.97,"9,391,140",103,16.8,21,50.2,56
519081,Brezov,49.1426935,21.50301164,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,53.45,"6,894,329",369,29.2,45,30.5,37
519090,Brezovka,49.2713814,21.4199581,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,33.81,"3,267,923",111,14.4,22,55,66
519103,Buclovany,49.15991135,21.36349791,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,49.32,"4,095,871",202,24.5,29,28.1,33
519286,Chmeľová,49.4,21.3,Bardejov,49.2926871,21.2756031,Prešovský kraj,Prešov,48.9975724,21.2401811,30.05,"12,431,126",374,14.7,19,55.2,62
